Date,Product Name,Category,Sales Units,Sales Revenue,Stock Level,Price,Promotion,Economic Indicator,Weather,Competitor Price,Website Traffic,Holiday Season,Lead Time Days,Event Impact,Returns,Demand Forecast,Seasonality
1/1/2024,Cozy Winter Jacket,Clothing,136,"$4,080",130,$30,Yes,75,Cloudy,$31.74,894,No,3,Holiday Sale,1,162,Winter
1/2/2024,Cozy Winter Jacket,Clothing,126,"$3,780",265,$30,No,71,Rainy,$34.89,869,No,6,New Year Event,1,144,Winter
1/3/2024,Cozy Winter Jacket,Clothing,159,"$4,770",110,$30,No,79,Sunny,$32.40,1193,Yes,7,New Year Event,4,141,Winter
1/4/2024,Cozy Winter Jacket,Clothing,134,"$4,020",221,$30,No,73,Sunny,$34.70,1188,No,7,Holiday Sale,2,163,Winter
1/5/2024,Cozy Winter Jacket,Clothing,100,"$3,000",41,$30,No,71,Cloudy,$27.16,849,No,6,New Year Event,5,146,Winter
1/6/2024,Cozy Winter Jacket,Clothing,129,"$3,870",178,$30,No,79,Sunny,$25.57,1158,Yes,4,Holiday Sale,0,166,Winter
1/7/2024,Cozy Winter Jacket,Clothing,131,"$3,930",194,$30,No,70,Cloudy,$26.81,884,Yes,5,Black Friday,5,158,Winter
1/8/2024,Cozy Winter Jacket,Clothing,114,"$3,420",258,$30,Yes,79,Cloudy,$25.43,868,No,1,New Year Event,5,136,Winter
1/9/2024,Cozy Winter Jacket,Clothing,155,"$4,650",37,$30,No,75,Cloudy,$31.04,1133,Yes,5,New Year Event,0,174,Winter
1/10/2024,Cozy Winter Jacket,Clothing,145,"$4,350",90,$30,No,72,Cloudy,$32.12,910,Yes,2,Holiday Sale,5,162,Winter
1/11/2024,Cozy Winter Jacket,Clothing,109,"$3,270",197,$30,Yes,75,Rainy,$26.25,821,Yes,3,None,2,133,Winter
1/12/2024,Cozy Winter Jacket,Clothing,157,"$4,710",248,$30,Yes,73,Snowy,$27.52,1217,No,3,Holiday Sale,0,129,Winter
1/13/2024,Cozy Winter Jacket,Clothing,108,"$3,240",272,$30,No,71,Snowy,$27.53,896,Yes,6,None,5,138,Winter
1/14/2024,Cozy Winter Jacket,Clothing,138,"$4,140",168,$30,Yes,77,Cloudy,$27.56,990,No,5,Black Friday,4,158,Winter
1/15/2024,Cozy Winter Jacket,Clothing,132,"$3,960",261,$30,No,78,Rainy,$30.15,1108,Yes,5,Holiday Sale,0,132,Winter
1/16/2024,Cozy Winter Jacket,Clothing,129,"$3,870",44,$30,No,75,Sunny,$30.57,1255,Yes,3,Holiday Sale,1,159,Winter
1/17/2024,Cozy Winter Jacket,Clothing,145,"$4,350",210,$30,No,80,Cloudy,$34.92,997,Yes,6,Holiday Sale,2,126,Winter
1/18/2024,Cozy Winter Jacket,Clothing,155,"$4,650",64,$30,No,80,Cloudy,$33.75,903,Yes,5,New Year Event,5,167,Winter
1/19/2024,Cozy Winter Jacket,Clothing,158,"$4,740",282,$30,No,72,Cloudy,$30.86,908,Yes,4,New Year Event,3,174,Winter
1/20/2024,Cozy Winter Jacket,Clothing,106,"$3,180",9,$30,Yes,74,Rainy,$27.30,1059,No,5,New Year Event,2,165,Winter
1/21/2024,Cozy Winter Jacket,Clothing,157,"$4,710",272,$30,No,71,Cloudy,$30.57,1118,Yes,4,New Year Event,4,158,Winter
1/22/2024,Cozy Winter Jacket,Clothing,134,"$4,020",117,$30,Yes,80,Snowy,$34.46,1078,No,6,None,4,153,Winter
